отзывы,разметка
"Этот телефон превзошел все мои ожидания, камера делает отличные снимки, а производительность на высшем уровне.",1
"Прекрасный телефон, батарея держит целый день при активном использовании.",1
"Очень удобный и быстрый, мне нравится его дизайн и плавность работы.",1
"Отличный экран, яркие цвета и отличная детализация, идеально подходит для просмотра видео.",1
"Супер быстрая зарядка, уже через 30 минут телефон почти полностью заряжается.",1
"Этот смартфон стал отличным выбором, все работает быстро и без проблем.",1
"Мне очень понравилась камера, фотографии получаются четкими и яркими даже при плохом освещении.",1
"Экран красивый и четкий, а также не ломается при падениях благодаря защите.",1
"Телефон легкий, не чувствуется в руке, работает без тормозов.",1
"Долгое время был в поисках идеального телефона, и это именно тот вариант, который мне нужен.",1
"Телефон не оправдал моих ожиданий, часто тормозит и подвисает.",0
"Качество сборки оставляет желать лучшего, корпус сильно царапается.",0
"Батарея садится очень быстро, даже при минимальном использовании.",0
"Камера делает плохие снимки, особенно в условиях недостаточного освещения.",0
"Очень плохо работает интернет, постоянно теряет соединение, что доставляет неудобства.",0
"Телефон перегревается при длительном использовании, особенно при играх.",0
"Неудобно, что нет разъема для наушников, приходится использовать адаптер.",0
"Телефон очень долго заряжается, а зарядки хватает всего на пару часов.",0
"Экран слишком яркий даже на минимальной яркости, невозможно смотреть в темноте.",0
"Этот телефон оказался не таким быстрым, как я ожидал, часто лагает.",0
"Очень доволен покупкой, все приложения работают быстро и стабильно.",1
"Телефон просто огонь! Никаких нареканий, батарея держит долго.",1
"Хорошая сборка, экран четкий, камера отличная, все как обещано.",1
"Покупал его для работы и игр, отлично справляется с обоими задачами.",1
"Рекомендую этот смартфон всем, кто ценит хорошее качество и скорость работы.",1
Телефон очень удобный и с хорошей производительностью для повседневных задач.,1
"Смартфон поддерживает быструю зарядку, очень удобно, когда времени мало.",1
"Тот случай, когда покупка оправдала себя на все 100%, не было разочарований.",1
"Очень нравится камера, делаю много качественных снимков.",1
"Телефон отлично работает, никаких сбоев, проблемы не возникали.",1
"На телефоне слишком много предустановленных приложений, которые невозможно удалить.",0
"Тонкая и хрупкая задняя панель, можно легко повредить при падении.",0
"Часто возникают проблемы с Bluetooth, не могу подключить наушники или другие устройства.",0
Экран мутнеет и теряет яркость через несколько месяцев использования.,0
"Телефон плохо работает в условиях низкой температуры, часто выключается.",0
"Довольно сильно греется в процессе зарядки, становится неудобным держать.",0
Техническая поддержка работает медленно и не всегда помогает в решении проблем.,0
"Телефон не поддерживает обновления, версия операционной системы устарела.",0
"Громкость динамиков оставляет желать лучшего, звука не хватает даже для просмотра видео.",0
Постоянно зависает при запуске некоторых приложений.,0
"Телефон очень хороший для повседневного использования, все работает быстро.",1
"Мне нравится его компактность и стильный дизайн, лежит удобно в руке.",1
"Очень приятный экран с хорошими углами обзора, не устаешь смотреть.",1
"Покупал для работы и не пожалел, все программы запускаются быстро.",1
"Камера действительно хорошая для такого ценового сегмента, снимает детализировано.",1
"Отличная сборка, ощущения от использования на высшем уровне.",1
"Телефон полностью оправдал свою цену, работает быстро и стабильно.",1
"Удобный интерфейс, легко разобраться даже без инструкций.",1
"Очень долго держит заряд, даже при активном использовании хватает на весь день.",1
"Телефон был в эксплуатации более года, и все еще работает как новый.",1
"Экран скользкий, неудобно использовать без чехла.",0
"Слишком часто приходится перезагружать телефон, чтобы он не тормозил.",0
"Очень плохая совместимость с некоторыми приложениями, не запускаются или тормозят.",0
"Постоянно виснет, особенно при многозадачности.",0
"Отсутствие microSD карты – это огромный минус, память быстро заполняется.",0
"Система обновлений оставляет желать лучшего, новые версии выходят редко.",0
Очень медленно устанавливаются приложения и обновления.,0
"Проблемы с сенсором, не всегда реагирует на прикосновения.",0
Из-за слабого процессора телефон не справляется с современными играми.,0
"Технология быстрой зарядки реально работает, телефон заряжается за короткое время.",1
Очень нравится плавность анимаций и быстродействие интерфейса.,1
"Отличная цена за такую производительность, все работает быстро и без зависаний.",1
"Телефон мне понравился, пользуюсь им уже несколько месяцев, никаких проблем.",1
"Очень хорошее качество экрана, даже на ярком солнце все видно.",1
"Долго думал перед покупкой, но не пожалел, этот телефон – отличный выбор.",1
"Никаких глюков, тормозов или других проблем, работает на ура!",1
"Смартфон быстро обновляется, новые функции появляются регулярно.",1
"Телефон хороший, держит заряд долго, быстро заряжается.",1
"Очень нравится его дизайн, смотрится дорого и стильно.",1
"Проблемы с камерой: фото часто размыты и темные, даже в хорошем освещении.",0
"Медленная работа при запуске нескольких приложений, часто выскакивает сообщение о перегрузке.",0
После обновления телефон начал сильно тормозить и зависать.,0
"Телефон плохо ловит сеть, часто теряет сигнал и теряет соединение с интернетом.",0
Через несколько месяцев использования экран начал тускнеть и терять яркость.,0
"Очень сильно нагревается при запуске игр или видео, неудобно держать в руке.",0
"Проблемы с NFC, не удается корректно использовать функцию для бесконтактных платежей.",0
"Неудобный интерфейс, многие функции сложно найти.",0
"Телефон не поддерживает нужные мне приложения, и мне пришлось искать замену.",0
"Маленький объем памяти, несмотря на наличие карты памяти.",0
"Телефон работает без нареканий, интерфейс интуитивно понятный и удобный.",1
"Очень нравится качество камеры, даже для любительских снимков получаются отличные фотографии.",1
"За такую цену это один из лучших телефонов, батарея действительно держит долго.",1
"Телефон не тормозит, все приложения открываются быстро, работает как швейцарский час.",1
"Очень понравился дизайн и удобство использования, телефон легкий и приятно держать в руке.",1
"Отличная производительность для всех задач, в том числе для игр и многозадачности.",1
"Телефон с потрясающим экраном, который не уступает дорогим моделям.",1
Отличное сочетание цены и качества. Покупка определенно стоит своих денег.,1
"Рекомендую всем, кто ищет смартфон с хорошей камерой и долгим временем работы от батареи.",1
"Этот телефон – это как хороший друг: всегда под рукой, всегда работает быстро и без проблем.",1
"Очень неудачное расположение кнопок, часто нажимаешь не на ту кнопку.",0
"Слишком быстро садится аккумулятор, уже через несколько часов пользования приходится заряжать.",0
"Телефон за эти деньги не оправдал ожиданий, он сильно тормозит при запуске приложений.",0
"Не удается подключить Bluetooth-устройства, хотя другие телефоны с этим не имеют проблем.",0
Проблемы с экраном: в уголках появляются цветные пятна после нескольких месяцев использования.,0
"Очень плохая связь, часто пропадает сигнал и неудобно звонить.",0
"Камера делает фотографии с сильными искажениями, особенно в условиях плохого освещения.",0
"Зарядка телефона занимает слишком много времени, даже при использовании быстрой зарядки.",0
"Постоянно зависает на экране загрузки, приходится перезагружать.",0
"Динамик очень тихий, даже на максимальной громкости звука недостаточно для прослушивания музыки.",0
"Отличная производительность, все игры идут без тормозов, никаких зависаний.",1
"Тот случай, когда смартфон становится незаменимым помощником в повседневной жизни.",1
"Очень понравилась автономность, батарея спокойно выдерживает целый день при активном использовании.",1
"Прекрасная камера, особенно при съемке пейзажей – фото получаются потрясающими.",1
"Телефон легко справляется с многозадачностью, приложения не зависают даже при высоких нагрузках.",1
"Смартфон очень качественно собран, приятно держать в руке.",1
